,open,close,high,low,trade value,turnover,return
586,198.16,197.89,199.42,195.85,112000.0,0.8459,-0.004276944751937295
587,198.43,206.05,208.54,198.38,172000.0,1.2521,0.04123502956187797
588,204.2,202.98,206.69,202.17,43807.0,0.3206,-0.014899296287309016
589,203.08,204.11,205.2,202.17,55828.0,0.4088,0.005567050940979534
590,204.65,203.39,204.74,202.53,48927.0,0.3597,-0.003527509676155116
591,202.08,203.66,204.29,202.08,26590.0,0.1953,0.0013274988937510557
592,203.12,202.8,204.11,202.26,55523.0,0.4087,-0.004222724148089885
593,202.62,203.62,205.11,202.17,51403.0,0.3764,0.00404339250493102
594,202.98,203.03,203.75,200.32,46987.0,0.3479,-0.0028975542677536215
595,200.82,200.64,202.62,199.28,26158.0,0.1948,-0.011771659360685693
596,199.46,199.15,200.41,198.07,36625.0,0.2746,-0.007426236044656975
597,199.15,197.66,199.15,197.21,85027.0,0.6415,-0.007481797639969923
598,197.75,198.02,199.74,197.75,81015.0,0.6093,0.0018213093190326823
599,198.56,208.04,208.22,194.95,284000.0,2.096,0.050600949399050466
600,208.04,206.87,211.11,203.53,135000.0,0.9673,-0.0056239184772158834
601,207.05,206.82,208.04,204.34,155000.0,1.1274,-0.00024169768453619067
602,206.05,209.44,210.93,205.11,139000.0,0.9921,0.012668020500918642
603,208.9,212.06,213.54,207.95,105000.0,0.7423,0.012509549274255072
604,212.1,211.2,212.78,211.2,76643.0,0.5396,-0.004055456003018043
605,211.02,211.24,212.1,208.04,57912.0,0.41100000000000003,0.00018939393939398919
606,209.17,210.84,212.78,209.17,49168.0,0.3465,-0.0018935807612194822
607,210.61,207.5,210.66,207.41,54462.0,0.39,-0.015841396319484002
608,207.09,208.13,209.17,206.05,36977.0,0.2663,0.003036144578313138
609,207.59,211.24,211.88,206.32,77577.0,0.555,0.014942583961947031
610,211.2,214.04,216.07,209.84,108000.0,0.7527,0.013255065328536153
611,216.66,229.57,231.51,216.66,192000.0,1.256,0.07255653148944119
612,232.41,228.93,236.92,227.9,124000.0,0.7979999999999999,-0.0027878207082806528
613,228.66,224.47,230.15,223.38,60357.0,0.4008,-0.019481937710217112
614,224.47,223.97,226.81,221.49,70987.0,0.4726,-0.002227469149552297
615,223.97,221.17,224.74,219.82,73258.0,0.4928,-0.012501674331383716
616,221.13,213.91,221.13,211.2,180000.0,1.2595,-0.03282542840349045
617,213.91,217.25,218.42,211.42,73212.0,0.5084,0.01561404328923377
618,216.61,224.78,226.59,214.36,118000.0,0.7899,0.0346605293440736
619,224.06,225.64,227.9,221.22,83199.0,0.5495,0.0038259631639825376
620,225.46,223.83,226.32,223.7,60370.0,0.4001,-0.008021627371033402
621,222.03,230.15,231.73,222.03,198000.0,1.29,0.028235714604833984
622,230.38,235.39,237.28,229.25,139000.0,0.8835,0.02276776015641957
623,237.82,249.02,252.17,235.57,262000.0,1.5704,0.05790390415905522
624,248.2,248.2,249.83,243.69,112000.0,0.6757,-0.0032929082001446064
625,248.16,243.78,248.16,243.24,80383.0,0.4893,-0.017808219178082174
626,243.69,243.87,245.27,240.53,66246.0,0.4092,0.00036918533103613704
627,243.87,243.65,249.56,241.03,61092.0,0.3727,-0.0009021199819575498
628,241.89,240.08,243.69,239.09,67867.0,0.4221,-0.014652164990765382
629,239.67,247.17,247.26,236.29,124000.0,0.7713,0.02953182272575794
630,248.16,247.17,250.41,242.34,75858.0,0.45899999999999996,0.0
631,243.92,253.12,258.13,243.69,148000.0,0.8845,0.0240725007080147
632,253.17,251.81,256.78,250.46,120000.0,0.7054,-0.005175410872313546
633,250.46,256.37,259.48,248.2,143000.0,0.8385,0.01810889162463769
634,255.2,258.0,258.13,253.26,90494.0,0.528,0.006357998205718252
635,257.0,259.94,265.8,255.42,192000.0,1.0966,0.007519379844961316
