,open,close,high,low,trade value,turnover,return
0,11.31,11.31,11.31,11.31,41.847,0.0123,0.10019455252918297
1,12.44,12.44,12.44,12.44,44.784,0.012,0.09991158267020328
2,13.68,13.68,13.68,13.68,83.448,0.0203,0.09967845659163999
3,15.05,15.05,15.05,15.05,157.27,0.0348,0.10014619883040954
4,16.56,16.56,16.56,16.56,125.86,0.0253,0.10033222591362123
5,18.22,18.22,18.22,18.22,572.2,0.1047,0.10024154589371981
6,20.04,20.04,20.04,20.04,310.62,0.0517,0.09989023051591661
7,22.04,22.04,22.04,22.04,1111.5,0.1681,0.09980039920159678
8,24.24,24.24,24.24,24.24,906.58,0.1247,0.09981851179673318
9,26.66,26.66,26.66,26.66,500.33,0.0626,0.09983498349834985
10,29.33,29.33,29.33,29.33,2229.1,0.2533,0.10015003750937734
11,32.26,32.26,32.26,32.26,1690.4,0.1747,0.09989771564950556
12,35.49,35.49,35.49,35.49,1430.0,0.1343,0.10012399256044646
13,39.04,39.04,39.04,39.04,1998.8,0.1707,0.10002817695125388
14,42.94,42.94,42.94,42.94,3753.0,0.2913,0.09989754098360648
15,47.23,47.23,47.23,47.23,6234.0,0.44,0.09990684676292494
16,51.95,51.95,51.95,51.95,4442.0,0.285,0.09993648105018016
17,57.15,57.15,57.15,57.15,7012.6,0.409,0.1000962463907602
18,62.87,62.87,62.87,62.87,9302.7,0.4932,0.100087489063867
19,69.16,69.16,69.16,69.16,5823.3,0.2807,0.1000477175123271
20,76.08,76.08,76.08,76.08,6843.4,0.2998,0.1000578368999423
21,83.69,83.69,83.69,83.69,47357.0,1.8862,0.1000262881177707
22,92.06,92.06,92.06,92.06,46950.0,1.7,0.10001194885888398
23,101.27,101.27,101.27,101.27,63225.0,2.0811,0.10004344992396264
24,111.4,111.4,111.4,111.4,81217.0,2.4302,0.10002962377801916
25,122.54,122.54,122.54,122.54,78460.0,2.1343,0.10000000000000009
26,134.79,134.79,134.79,134.79,227000.0,5.6137,0.09996735759751907
27,148.27,148.27,148.27,148.27,1110000.0,24.96,0.10000741894799337
28,148.27,157.0,163.1,140.8,2650000.0,57.893,0.0588790719633101
29,160.0,172.7,172.7,149.99,1940000.0,38.931999999999995,0.09999999999999987
30,179.0,189.97,189.97,169.03,1220000.0,22.473000000000003,0.10000000000000009
31,200.0,208.97,208.97,198.11,271000.0,4.4303,0.10001579196715271
32,229.87,229.87,229.87,228.0,787000.0,11.419,0.10001435612767384
33,240.0,252.86,252.86,235.2,420000.0,5.6866,0.10001305085483092
34,278.15,241.7,278.15,235.0,2390000.0,31.212,-0.04413509451870612
35,225.0,226.0,239.9,217.53,1450000.0,21.331,-0.06495655771617703
36,232.0,248.6,248.6,230.01,1480000.0,20.317999999999998,0.09999999999999987
37,264.0,273.46,273.46,248.6,1620000.0,20.355,0.09999999999999987
38,297.0,300.81,300.81,291.0,488000.0,5.4426,0.10001462736780531
39,324.0,280.0,327.01,276.89,2130000.0,23.754,-0.0691798809879991
40,288.0,289.0,298.6,261.34,1340000.0,15.967,0.03214285714285725
41,262.0,265.01,282.5,260.1,1360000.0,17.129,-0.08301038062283739
42,263.0,254.31,265.88,250.53,1410000.0,18.261,-0.040375834874155636
43,254.01,260.0,267.0,243.0,1530000.0,20.015,0.0223742676261256
44,250.15,235.53,255.57,235.03,1230000.0,16.554000000000002,-0.0941153846153846
45,231.5,237.95,246.99,226.32,963000.0,13.487,0.010274699613637361
46,239.0,251.0,253.98,235.0,1130000.0,15.25,0.05484345450724937
47,249.0,258.0,263.81,238.05,1220000.0,15.956,0.027888446215139417
48,250.0,283.8,283.8,249.0,1340000.0,16.222,0.10000000000000009
49,290.99,255.42,299.94,255.42,1300000.0,16.027,-0.10000000000000009
50,262.0,241.98,274.47,235.55,1160000.0,15.216,-0.0526192154099131
51,234.6,266.18,266.18,233.0,945000.0,12.597999999999999,0.1000082651458798
52,266.0,279.6,290.0,258.18,1040000.0,12.446,0.05041701104515739
53,270.0,307.56,307.56,269.0,845000.0,9.5791,0.09999999999999987
54,276.8,276.8,276.8,276.8,89960.0,1.0833,-0.10001300559240467
55,249.12,249.12,249.12,249.12,5630.1,0.0753,-0.09999999999999998
56,224.21,224.21,224.21,224.21,1838.5,0.0273,-0.09999197174052665
57,201.79,201.79,201.79,201.79,41649.0,0.688,-0.09999553989563359
58,181.61,181.61,181.61,181.61,188000.0,3.4547,-0.10000495564695966
59,172.2,195.0,198.9,172.2,2340000.0,42.763999999999996,0.07372942018611295
60,182.0,175.55,190.2,175.5,1880000.0,34.441,-0.09974358974358966
61,174.01,182.55,186.0,170.0,1340000.0,24.864,0.03987467957846769
62,182.0,186.08,197.0,174.0,1530000.0,27.865,0.01933716789920581
63,187.1,180.3,195.99,178.2,1260000.0,22.272,-0.031061908856405807
64,169.0,162.27,170.14,162.27,970000.0,19.633,-0.09999999999999998
65,146.04,146.04,151.1,146.04,759000.0,17.242,-0.10001848770567578
66,141.11,144.6,147.0,131.44,1250000.0,30.241,-0.009860312243221037
67,137.97,130.14,145.45,130.14,969000.0,23.429000000000002,-0.10000000000000009
68,124.28,124.34,126.88,117.13,949000.0,25.819000000000003,-0.04456738896572909
69,121.99,120.6,129.8,116.21,745000.0,20.111,-0.030078816149268217
